Proprietario: sssss
Dinheiro gasto: 8
Porcentagem: 0.74
Figurinhas coladas:
Nro, Titulo, Secao, Tipo
ESP12,Marcos Llorente,Spain,normal
FWC2,Official Trophy1,Content,metalico
MAR2,Team Logo,Morocco,metalico
FRA20,Christopher Nkunku,France,normal
KSA2,Team Logo,Saudi Arabia,metalico
Figurinhas repetidas ou não coladas:
Nro, Titulo, Secao, Tipo
GHA7,Alexander Djiku,Ghana,normal
FWC6,Official Emblem1,Content,metalico
KOR10,Yong Lee,Korea Republic,normal
JPN19,Kaoru Mitoma,Japan,normal
IRN8,Shoja Khalilzadeh,Iran,normal
