Nro,Titulo,Secao,Tipo
0,Panini,Content,metalico
FWC1,FIFA,Content,normal
FWC2,Official Trophy1,Content,metalico
FWC3,Official Trophy2,Content,metalico
FWC4,Official Mascot1,Content,metalico
FWC5,Official Mascot2,Content,metalico
FWC6,Official Emblem1,Content,metalico
FWC7,Official Emblem2,Content,metalico
FWC8,Ahmad Bin Ali Stadium,Stadiums,normal
FWC9,Al Janoub Stadium,Stadiums,normal
FWC10,Al Thumama Stadium,Stadiums,normal
FWC11,Education City Stadium,Stadiums,normal
FWC12,Khalifa International Stadium,Stadiums,normal
FWC13,Stadium 974,Stadiums,normal
FWC14,Al Bayt Stadium outdoor,Stadiums,normal
FWC15,Al Bayt Stadium indoor,Stadiums,normal
FWC16,Lusail Stadium outdoor,Stadiums,normal
FWC17,Lusail Stadium indoor,Stadiums,normal
FWC18,Al Rihla,Official Match Ball,normal
QAT1,Team Shot,Qatar,normal
QAT2,Team Logo,Qatar,metalico
QAT3,Saad Al Sheeb,Qatar,normal
QAT4,Meshaal Barsham,Qatar,normal
QAT5,Homam Ahmed,Qatar,normal
QAT6,Bassam Alrawi,Qatar,normal
QAT7,Abdulkarim Hassan,Qatar,normal
QAT8,Musaab Khidir,Qatar,normal
QAT9,Boualem Khoukhi,Qatar,normal
QAT10,Pedro Miguel,Qatar,normal
QAT11,Tarek Salman,Qatar,normal
QAT12,Karim Boudiaf,Qatar,normal
QAT13,Abdulaziz Hatem,Qatar,normal
QAT14,Assim Omer Madibo,Qatar,normal
QAT15,Yousuf Abdurisag,Qatar,normal
QAT16,Akram Hassan Afif,Qatar,normal
QAT17,Ahmad Alaaeldin,Qatar,normal
QAT18,Hasan Al-Haydos,Qatar,normal
QAT19,Almoez Ali,Qatar,normal
QAT20,Mohammed Muntari,Qatar,normal
ECU1,Team Shot,Ecuador,normal
ECU2,Team Logo,Ecuador,metalico
ECU3,Hernan Galindez,Ecuador,normal
ECU4,Alexander Dominguez,Ecuador,normal
ECU5,Robert Arboleda,Ecuador,normal
ECU6,Byron Castillo,Ecuador,normal
ECU7,Pervis Estupinan,Ecuador,normal
ECU8,Piero Hincapie,Ecuador,normal
ECU9,Angelo Preciado,Ecuador,normal
ECU10,Felix Torres,Ecuador,normal
ECU11,Moises Caicedo,Ecuador,normal
ECU12,Alan Franco,Ecuador,normal
ECU13,Carlos Gruezo,Ecuador,normal
ECU14,Jhegson Mendez,Ecuador,normal
ECU15,Jeremy Sarmiento,Ecuador,normal
ECU16,Michael Estrada,Ecuador,normal
ECU17,Angel Mena,Ecuador,normal
ECU18,Gonzalo Plata,Ecuador,normal
ECU19,Ayrton Preciado,Ecuador,normal
ECU20,Enner Valencia,Ecuador,normal
SEN1,Team Shot,Senegal,normal
SEN2,Team Logo,Senegal,metalico
SEN3,Edouard Mendy,Senegal,normal
SEN4,Alfred Gomis,Senegal,normal
SEN5,Saliou Ciss,Senegal,normal
SEN6,Pape Abou Cisse,Senegal,normal
SEN7,Abdou Diallo,Senegal,normal
SEN8,Kalidou Koulibaly,Senegal,normal
SEN9,Ibrahima Mbaye,Senegal,normal
SEN10,Bouna Sarr,Senegal,normal
SEN11,Krepin Diatta,Senegal,normal
SEN12,Idrissa Gueye,Senegal,normal
SEN13,Pape Gueye,Senegal,normal
SEN14,Cheikhou Kouyate,Senegal,normal
SEN15,Nampalys Mendy,Senegal,normal
SEN16,Boulaye Dia,Senegal,normal
SEN17,Famara Diedhiou,Senegal,normal
SEN18,Bamba Dieng,Senegal,normal
SEN19,Sadio Mane,Senegal,normal
SEN20,Ismaila Sarr,Senegal,normal
NED1,Team Shot,Netherlands,normal
NED2,Team Logo,Netherlands,metalico
NED3,Justin Bijlow,Netherlands,normal
NED4,Jasper Cillessen,Netherlands,normal
NED5,Daley Blind,Netherlands,normal
NED6,Matthijs de Ligt,Netherlands,normal
NED7,Stefan de Vrij,Netherlands,normal
NED8,Denzel Dumfries,Netherlands,normal
NED9,Virgil Van Dijk,Netherlands,normal
NED10,Steven Berghuis,Netherlands,normal
NED11,Frenkie de Jong,Netherlands,normal
NED12,Ryan Gravenberch,Netherlands,normal
NED13,Davy Klaassen,Netherlands,normal
NED14,Teun Koopmeiners,Netherlands,normal
NED15,Georginio Wijnaldum,Netherlands,normal
NED16,Steven Bergwijn,Netherlands,normal
NED17,Arnaut Danjuma,Netherlands,normal
NED18,Memphis Depay,Netherlands,normal
NED19,Cody Gakpo,Netherlands,normal
NED20,Donyell Malen,Netherlands,normal
ENG1,Team Shot,England,normal
ENG2,Team Logo,England,metalico
ENG3,Jordan Pickford,England,normal
ENG4,Aaron Ramsdale,England,normal
ENG5,Trent Alexander-Arnold,England,normal
ENG6,Conor Coady,England,normal
ENG7,Harry Maguire,England,normal
ENG8,Luke Shaw,England,normal
ENG9,John Stones,England,normal
ENG10,Kyle Walker,England,normal
ENG11,Jude Bellingham,England,normal
ENG12,Jack Grealish,England,normal
ENG13,Jordan Henderson,England,normal
ENG14,Mason Mount,England,normal
ENG15,Kalvin Phillips,England,normal
ENG16,Declan Rice,England,normal
ENG17,Phil Foden,England,normal
ENG18,Harry Kane,England,normal
ENG19,Bukayo Saka,England,normal
ENG20,Raheem Sterling,England,normal
IRN1,Team Shot,Iran,normal
IRN2,Team Logo,Iran,metalico
IRN3,Amir Abedzadeh,Iran,normal
IRN4,Alireza Beiranvand,Iran,normal
IRN5,Ehsan Hajsafi,Iran,normal
IRN6,Majid Hosseini,Iran,normal
IRN7,Hossein Kanaani,Iran,normal
IRN8,Shoja Khalilzadeh,Iran,normal
IRN9,Milad Mohammadi,Iran,normal
IRN10,Sadegh Moharrami,Iran,normal
IRN11,Omid Noorafkan,Iran,normal
IRN12,Vahid Amiri,Iran,normal
IRN13,Saeid Ezatolahi,Iran,normal
IRN14,Ali Gholizadeh,Iran,normal
IRN15,Alireza Jahanbakhsh,Iran,normal
IRN16,Ahmad Nourollahi,Iran,normal
IRN17,Karim Ansarifard,Iran,normal
IRN18,Sardar Azmoun,Iran,normal
IRN19,Saman Ghoddos,Iran,normal
IRN20,Mehdi Taremi,Iran,normal
USA1,Team Shot,USA,normal
USA2,Team Logo,USA,metalico
USA3,Matt Turner,USA,normal
USA4,Zack Steffen,USA,normal
USA5,Sergino Dest,USA,normal
USA6,Aaron Long,USA,normal
USA7,Chris Richards,USA,normal
USA8,Antonee Robinson,USA,normal
USA9,DeAndre Yedlin,USA,normal
USA10,Walker Zimmerman,USA,normal
USA11,Brenden Aaronson,USA,normal
USA12,Kellyn Acosta,USA,normal
USA13,Tyler Adams,USA,normal
USA14,Weston McKennie,USA,normal
USA15,Yunus Musah,USA,normal
USA16,Jesus Ferreira,USA,normal
USA17,Ricardo Pepi,USA,normal
USA18,Christian Pulisic,USA,normal
USA19,Giovanni Reyna,USA,normal
USA20,Timothy Weah,USA,normal
WAL1,Team Shot,Wales,normal
WAL2,Team Logo,Wales,metalico
WAL3,Danny Ward,Wales,normal
WAL4,Wayne Hennessey,Wales,normal
WAL5,Ethan Ampadu,Wales,normal
WAL6,Ben Davies,Wales,normal
WAL7,Chris Gunter,Wales,normal
WAL8,Chris Mepham,Wales,normal
WAL9,Connor Roberts,Wales,normal
WAL10,Joe Rodon,Wales,normal
WAL11,Neco Williams,Wales,normal
WAL12,Joe Allen,Wales,normal
WAL13,Joe Morrell,Wales,normal
WAL14,Aaron Ramsey,Wales,normal
WAL15,Jonathan Williams,Wales,normal
WAL16,Harry Wilson,Wales,normal
WAL17,Gareth Bale,Wales,normal
WAL18,Daniel James,Wales,normal
WAL19,Brennan Johnson,Wales,normal
WAL20,Kieffer Moore,Wales,normal
ARG1,Team Shot,Argentina,normal
ARG2,Team Logo,Argentina,metalico
ARG3,Emiliano Martinez,Argentina,normal
ARG4,Franco Armani,Argentina,normal
ARG5,Marcos Acuna,Argentina,normal
ARG6,Nahuel Molina,Argentina,normal
ARG7,Nicolas Otamendi,Argentina,normal
ARG8,German Pezzella,Argentina,normal
ARG9,Cristian Romero,Argentina,normal
ARG10,Rodrigo De Paul,Argentina,normal
ARG11,Angel Di Maria,Argentina,normal
ARG12,Giovani Lo Celso,Argentina,normal
ARG13,Leandro Paredes,Argentina,normal
ARG14,Guido Rodriguez,Argentina,normal
ARG15,Julian Alvarez,Argentina,normal
